Station_ID,Station_Name,City,Province,Latitude,Longitude,Charging_Level,Power_kW,Status
ON-EV-2045,Brampton Charging Station 45,Brampton,ON,43.69939,-79.699435,Level 2,7.2,Active
ON-EV-2046,Brampton Charging Station 46,Brampton,ON,43.7421,-79.742905,Level 3,50.0,Active
ON-EV-2047,Mississauga Charging Station 47,Mississauga,ON,43.497151,-79.7113,Level 2,7.2,Active
ON-EV-2048,Ottawa Charging Station 48,Ottawa,ON,45.33357,-75.747779,Level 2,7.2,Active
ON-EV-2049,Mississauga Charging Station 49,Mississauga,ON,43.532843,-79.548927,Level 2,7.2,Active
ON-EV-2050,Vaughan Charging Station 50,Vaughan,ON,43.930667,-79.521769,Level 2,7.2,Active
ON-EV-2051,Ottawa Charging Station 51,Ottawa,ON,45.325672,-75.666547,Level 2,7.2,Active
ON-EV-2052,Vaughan Charging Station 52,Vaughan,ON,43.951259,-79.478435,Level 2,7.2,Active
ON-EV-2053,Mississauga Charging Station 53,Mississauga,ON,43.533112,-79.66042,Level 2,7.2,Active
ON-EV-2054,Markham Charging Station 54,Markham,ON,43.848625,-79.263345,Level 3,50.0,Active
ON-EV-2055,Vaughan Charging Station 55,Vaughan,ON,43.841399,-79.539313,Level 2,7.2,Active
ON-EV-2056,Brampton Charging Station 56,Brampton,ON,43.732469,-79.75374,Level 2,7.2,Active
ON-EV-2057,Kitchener Charging Station 57,Kitchener,ON,43.439323,-80.447448,Level 2,7.2,Active
ON-EV-2058,Ottawa Charging Station 58,Ottawa,ON,45.441045,-75.638609,Level 2,7.2,Active
ON-EV-2059,Mississauga Charging Station 59,Mississauga,ON,43.60747,-79.561627,Level 2,7.2,Active
ON-EV-2060,Ottawa Charging Station 60,Ottawa,ON,45.447812,-75.650577,Level 2,7.2,Active
ON-EV-2061,Vaughan Charging Station 61,Vaughan,ON,43.837362,-79.488129,Level 2,7.2,Active
ON-EV-2062,Ottawa Charging Station 62,Ottawa,ON,45.357695,-75.626323,Level 2,7.2,Active
ON-EV-2063,London Charging Station 63,London,ON,43.05905,-81.256239,Level 2,7.2,Active
ON-EV-2064,Kitchener Charging Station 64,Kitchener,ON,43.484124,-80.573448,Level 2,7.2,Active
ON-EV-2065,Kitchener Charging Station 65,Kitchener,ON,43.545482,-80.540873,Level 2,7.2,Active
ON-EV-2066,Toronto Charging Station 66,Toronto,ON,43.707895,-79.457025,Level 3,50.0,Active
ON-EV-2067,Windsor Charging Station 67,Windsor,ON,42.229599,-83.102448,Level 2,7.2,Active
ON-EV-2068,Windsor Charging Station 68,Windsor,ON,42.348778,-83.107249,Level 2,7.2,Active
ON-EV-2069,Vaughan Charging Station 69,Vaughan,ON,43.879729,-79.467145,Level 2,7.2,Active
ON-EV-2070,Brampton Charging Station 70,Brampton,ON,43.707372,-79.741292,Level 2,7.2,Active
ON-EV-2071,Hamilton Charging Station 71,Hamilton,ON,43.312058,-79.830023,Level 2,7.2,Active
ON-EV-2072,London Charging Station 72,London,ON,42.926068,-81.322916,Level 2,7.2,Active
ON-EV-2073,Ottawa Charging Station 73,Ottawa,ON,45.346094,-75.750974,Level 2,7.2,Active
ON-EV-2074,Toronto Charging Station 74,Toronto,ON,43.577622,-79.39276,Level 3,50.0,Active
ON-EV-2075,Toronto Charging Station 75,Toronto,ON,43.654647,-79.474885,Level 2,7.2,Active
ON-EV-2076,Hamilton Charging Station 76,Hamilton,ON,43.251679,-79.833906,Level 2,7.2,Active
ON-EV-2077,Kitchener Charging Station 77,Kitchener,ON,43.479424,-80.418916,Level 2,7.2,Active
ON-EV-2078,Ottawa Charging Station 78,Ottawa,ON,45.390031,-75.690751,Level 2,7.2,Active
ON-EV-2079,Brampton Charging Station 79,Brampton,ON,43.772436,-79.822029,Level 2,7.2,Active
ON-EV-2080,Ottawa Charging Station 80,Ottawa,ON,45.35917,-75.651034,Level 2,7.2,Active
ON-EV-2081,London Charging Station 81,London,ON,43.058528,-81.30987,Level 2,7.2,Active
ON-EV-2082,Markham Charging Station 82,Markham,ON,43.951826,-79.362141,Level 2,7.2,Active
ON-EV-2083,Ottawa Charging Station 83,Ottawa,ON,45.445069,-75.623419,Level 2,7.2,Active
ON-EV-2084,Vaughan Charging Station 84,Vaughan,ON,43.915402,-79.424764,Level 2,7.2,Active
ON-EV-2085,Hamilton Charging Station 85,Hamilton,ON,43.289094,-79.855663,Level 2,7.2,Active
ON-EV-2086,Ottawa Charging Station 86,Ottawa,ON,45.521383,-75.787558,Level 3,50.0,Active
ON-EV-2087,Kitchener Charging Station 87,Kitchener,ON,43.525751,-80.436023,Level 2,7.2,Active
ON-EV-2088,Kitchener Charging Station 88,Kitchener,ON,43.373422,-80.462398,Level 3,150.0,Active
ON-EV-2089,London Charging Station 89,London,ON,42.972534,-81.165025,Level 3,50.0,Active
ON-EV-2090,Mississauga Charging Station 90,Mississauga,ON,43.66278,-79.668966,Level 2,7.2,Active
ON-EV-2091,Markham Charging Station 91,Markham,ON,43.757252,-79.372083,Level 2,7.2,Active
ON-EV-2092,Markham Charging Station 92,Markham,ON,43.868788,-79.360916,Level 2,7.2,Active
ON-EV-2093,Toronto Charging Station 93,Toronto,ON,43.600709,-79.40855,Level 2,7.2,Active
ON-EV-2094,Windsor Charging Station 94,Windsor,ON,42.332312,-83.102711,Level 2,7.2,Active
ON-EV-2095,Ottawa Charging Station 95,Ottawa,ON,45.414199,-75.721243,Level 3,150.0,Active
ON-EV-2096,Ottawa Charging Station 96,Ottawa,ON,45.417336,-75.792072,Level 2,7.2,Active
ON-EV-2097,Hamilton Charging Station 97,Hamilton,ON,43.235465,-79.855066,Level 2,7.2,Active
ON-EV-2098,Markham Charging Station 98,Markham,ON,43.918697,-79.293375,Level 3,50.0,Active
ON-EV-2099,Hamilton Charging Station 99,Hamilton,ON,43.194856,-79.969587,Level 2,7.2,Active
ON-EV-2100,Kitchener Charging Station 100,Kitchener,ON,43.482539,-80.516485,Level 2,7.2,Active
ON-EV-2101,London Charging Station 101,London,ON,42.923812,-81.312034,Level 2,7.2,Active
ON-EV-2102,Hamilton Charging Station 102,Hamilton,ON,43.212675,-79.909642,Level 3,50.0,Active
ON-EV-2103,Vaughan Charging Station 103,Vaughan,ON,43.818562,-79.486433,Level 3,50.0,Active
ON-EV-2104,Brampton Charging Station 104,Brampton,ON,43.796135,-79.757904,Level 2,7.2,Active
ON-EV-2105,Windsor Charging Station 105,Windsor,ON,42.374856,-83.099483,Level 2,7.2,Active
ON-EV-2106,Toronto Charging Station 106,Toronto,ON,43.666662,-79.431887,Level 3,150.0,Active
ON-EV-2107,London Charging Station 107,London,ON,43.046099,-81.235255,Level 2,7.2,Active
ON-EV-2108,Windsor Charging Station 108,Windsor,ON,42.237361,-83.135883,Level 2,7.2,Active
ON-EV-2109,Hamilton Charging Station 109,Hamilton,ON,43.332541,-79.925484,Level 2,7.2,Active
ON-EV-2110,Windsor Charging Station 110,Windsor,ON,42.249855,-83.064245,Level 3,150.0,Active
ON-EV-2111,Toronto Charging Station 111,Toronto,ON,43.600574,-79.327095,Level 2,7.2,Active
ON-EV-2112,Mississauga Charging Station 112,Mississauga,ON,43.659235,-79.609815,Level 3,50.0,Active
ON-EV-2113,Brampton Charging Station 113,Brampton,ON,43.661441,-79.777611,Level 2,7.2,Active
ON-EV-2114,Toronto Charging Station 114,Toronto,ON,43.700575,-79.310641,Level 2,7.2,Active
ON-EV-2115,Toronto Charging Station 115,Toronto,ON,43.588889,-79.420746,Level 2,7.2,Active
ON-EV-2116,Markham Charging Station 116,Markham,ON,43.865439,-79.390611,Level 2,7.2,Active
ON-EV-2117,Kitchener Charging Station 117,Kitchener,ON,43.450953,-80.394943,Level 2,7.2,Active
ON-EV-2118,Hamilton Charging Station 118,Hamilton,ON,43.290868,-79.882557,Level 2,7.2,Active
ON-EV-2119,Kitchener Charging Station 119,Kitchener,ON,43.490087,-80.394249,Level 2,7.2,Active
ON-EV-2120,Mississauga Charging Station 120,Mississauga,ON,43.609644,-79.676655,Level 3,50.0,Active
ON-EV-2121,Brampton Charging Station 121,Brampton,ON,43.648632,-79.683562,Level 2,7.2,Active
ON-EV-2122,Vaughan Charging Station 122,Vaughan,ON,43.829691,-79.539788,Level 2,7.2,Active
ON-EV-2123,Toronto Charging Station 123,Toronto,ON,43.719573,-79.349279,Level 2,7.2,Active
ON-EV-2124,Hamilton Charging Station 124,Hamilton,ON,43.209929,-79.852538,Level 2,7.2,Active
ON-EV-2125,Windsor Charging Station 125,Windsor,ON,42.2815,-83.002503,Level 3,150.0,Active
ON-EV-2126,London Charging Station 126,London,ON,42.996457,-81.19917,Level 2,7.2,Active
ON-EV-2127,Vaughan Charging Station 127,Vaughan,ON,43.872395,-79.590747,Level 3,50.0,Active
ON-EV-2128,Kitchener Charging Station 128,Kitchener,ON,43.385696,-80.510604,Level 2,7.2,Active
ON-EV-2129,Markham Charging Station 129,Markham,ON,43.907333,-79.367486,Level 2,7.2,Active
ON-EV-2130,Brampton Charging Station 130,Brampton,ON,43.726477,-79.785895,Level 2,7.2,Active
ON-EV-2131,Mississauga Charging Station 131,Mississauga,ON,43.519483,-79.545603,Level 3,150.0,Active
ON-EV-2132,Toronto Charging Station 132,Toronto,ON,43.721607,-79.379008,Level 2,7.2,Active
ON-EV-2133,Ottawa Charging Station 133,Ottawa,ON,45.47908,-75.624263,Level 2,7.2,Active
ON-EV-2134,London Charging Station 134,London,ON,42.916761,-81.332678,Level 2,7.2,Active
ON-EV-2135,Markham Charging Station 135,Markham,ON,43.808723,-79.364973,Level 2,7.2,Active
ON-EV-2136,Kitchener Charging Station 136,Kitchener,ON,43.46236,-80.531395,Level 2,7.2,Active
ON-EV-2137,Markham Charging Station 137,Markham,ON,43.944577,-79.262333,Level 2,7.2,Active
ON-EV-2138,London Charging Station 138,London,ON,42.984293,-81.146868,Level 3,150.0,Active
ON-EV-2139,Toronto Charging Station 139,Toronto,ON,43.576473,-79.31971,Level 2,7.2,Active
ON-EV-2140,Vaughan Charging Station 140,Vaughan,ON,43.862796,-79.464216,Level 2,7.2,Active
ON-EV-2141,Markham Charging Station 141,Markham,ON,43.817036,-79.420816,Level 2,7.2,Active
ON-EV-2142,Ottawa Charging Station 142,Ottawa,ON,45.352258,-75.752477,Level 3,150.0,Active
ON-EV-2143,Windsor Charging Station 143,Windsor,ON,42.379396,-83.109895,Level 3,150.0,Active
ON-EV-2144,Toronto Charging Station 144,Toronto,ON,43.674451,-79.330238,Level 2,7.2,Active
ON-EV-2145,Mississauga Charging Station 145,Mississauga,ON,43.67956,-79.57906,Level 2,7.2,Active
ON-EV-2146,Ottawa Charging Station 146,Ottawa,ON,45.335134,-75.792038,Level 2,7.2,Active
ON-EV-2147,Brampton Charging Station 147,Brampton,ON,43.647493,-79.707055,Level 2,7.2,Active
ON-EV-2148,Brampton Charging Station 148,Brampton,ON,43.719402,-79.841267,Level 2,7.2,Active
ON-EV-2149,Ottawa Charging Station 149,Ottawa,ON,45.45154,-75.766795,Level 2,7.2,Active
ON-EV-2150,Mississauga Charging Station 150,Mississauga,ON,43.527356,-79.701749,Level 2,7.2,Active
ON-EV-2151,Ottawa Charging Station 151,Ottawa,ON,45.333056,-75.658193,Level 3,50.0,Active
ON-EV-2152,Kitchener Charging Station 152,Kitchener,ON,43.38005,-80.568223,Level 2,7.2,Active
ON-EV-2153,Mississauga Charging Station 153,Mississauga,ON,43.524553,-79.605776,Level 2,7.2,Active
ON-EV-2154,Brampton Charging Station 154,Brampton,ON,43.830839,-79.699606,Level 2,7.2,Active
ON-EV-2155,Brampton Charging Station 155,Brampton,ON,43.666251,-79.731255,Level 3,150.0,Active
ON-EV-2156,Hamilton Charging Station 156,Hamilton,ON,43.333021,-79.881143,Level 2,7.2,Active
ON-EV-2157,Markham Charging Station 157,Markham,ON,43.861201,-79.340673,Level 2,7.2,Active
ON-EV-2158,London Charging Station 158,London,ON,43.077664,-81.295584,Level 2,7.2,Active
ON-EV-2159,Hamilton Charging Station 159,Hamilton,ON,43.159538,-79.919137,Level 3,150.0,Active
ON-EV-2160,Vaughan Charging Station 160,Vaughan,ON,43.863362,-79.56546,Level 2,7.2,Active
ON-EV-2161,Ottawa Charging Station 161,Ottawa,ON,45.44736,-75.757429,Level 2,7.2,Active
ON-EV-2162,Brampton Charging Station 162,Brampton,ON,43.705782,-79.80923,Level 2,7.2,Active
ON-EV-2163,Hamilton Charging Station 163,Hamilton,ON,43.324571,-79.951483,Level 2,7.2,Active
ON-EV-2164,Brampton Charging Station 164,Brampton,ON,43.804432,-79.813704,Level 2,7.2,Active
ON-EV-2165,Mississauga Charging Station 165,Mississauga,ON,43.564178,-79.665205,Level 2,7.2,Active
ON-EV-2166,Hamilton Charging Station 166,Hamilton,ON,43.346944,-79.944471,Level 2,7.2,Active
ON-EV-2167,Vaughan Charging Station 167,Vaughan,ON,43.819381,-79.470873,Level 2,7.2,Active
ON-EV-2168,Toronto Charging Station 168,Toronto,ON,43.721374,-79.475515,Level 3,50.0,Active
ON-EV-2169,Markham Charging Station 169,Markham,ON,43.887971,-79.257976,Level 2,7.2,Active
ON-EV-2170,Toronto Charging Station 170,Toronto,ON,43.56653,-79.379518,Level 2,7.2,Active
ON-EV-2171,Toronto Charging Station 171,Toronto,ON,43.641855,-79.473634,Level 2,7.2,Active
ON-EV-2172,Markham Charging Station 172,Markham,ON,43.899365,-79.422583,Level 2,7.2,Active
ON-EV-2173,Vaughan Charging Station 173,Vaughan,ON,43.763414,-79.506784,Level 2,7.2,Active
ON-EV-2174,Brampton Charging Station 174,Brampton,ON,43.701441,-79.707469,Level 2,7.2,Active
ON-EV-2175,Mississauga Charging Station 175,Mississauga,ON,43.523822,-79.724421,Level 2,7.2,Active
ON-EV-2176,Vaughan Charging Station 176,Vaughan,ON,43.809309,-79.604311,Level 2,7.2,Active
ON-EV-2177,Toronto Charging Station 177,Toronto,ON,43.612289,-79.329355,Level 2,7.2,Active
ON-EV-2178,Ottawa Charging Station 178,Ottawa,ON,45.45497,-75.795114,Level 2,7.2,Active
ON-EV-2179,Brampton Charging Station 179,Brampton,ON,43.786427,-79.733619,Level 2,7.2,Active
ON-EV-2180,Ottawa Charging Station 180,Ottawa,ON,45.385943,-75.772153,Level 2,7.2,Active
ON-EV-2181,Ottawa Charging Station 181,Ottawa,ON,45.441876,-75.680715,Level 3,150.0,Active
ON-EV-2182,Ottawa Charging Station 182,Ottawa,ON,45.347119,-75.729546,Level 3,50.0,Active
ON-EV-2183,Kitchener Charging Station 183,Kitchener,ON,43.426033,-80.506085,Level 2,7.2,Active
ON-EV-2184,Kitchener Charging Station 184,Kitchener,ON,43.384337,-80.537742,Level 3,150.0,Active
ON-EV-2185,Mississauga Charging Station 185,Mississauga,ON,43.666385,-79.614938,Level 2,7.2,Active
ON-EV-2186,Markham Charging Station 186,Markham,ON,43.931954,-79.385314,Level 2,7.2,Active
ON-EV-2187,Hamilton Charging Station 187,Hamilton,ON,43.306708,-79.878992,Level 3,150.0,Active
ON-EV-2188,Markham Charging Station 188,Markham,ON,43.792219,-79.426228,Level 2,7.2,Active
ON-EV-2189,London Charging Station 189,London,ON,43.081834,-81.157822,Level 2,7.2,Active
ON-EV-2190,Ottawa Charging Station 190,Ottawa,ON,45.343089,-75.66014,Level 2,7.2,Active
ON-EV-2191,Ottawa Charging Station 191,Ottawa,ON,45.364202,-75.696029,Level 3,50.0,Active
ON-EV-2192,London Charging Station 192,London,ON,42.993347,-81.22723,Level 2,7.2,Active
ON-EV-2193,London Charging Station 193,London,ON,42.997904,-81.207523,Level 3,50.0,Active
ON-EV-2194,Kitchener Charging Station 194,Kitchener,ON,43.503824,-80.560486,Level 2,7.2,Active
ON-EV-2195,Vaughan Charging Station 195,Vaughan,ON,43.805636,-79.463208,Level 3,150.0,Active
ON-EV-2196,Mississauga Charging Station 196,Mississauga,ON,43.569299,-79.584086,Level 2,7.2,Active
ON-EV-2197,Windsor Charging Station 197,Windsor,ON,42.36337,-82.973376,Level 2,7.2,Active
ON-EV-2198,Ottawa Charging Station 198,Ottawa,ON,45.392577,-75.640442,Level 2,7.2,Active
ON-EV-2199,London Charging Station 199,London,ON,43.05451,-81.177307,Level 3,150.0,Active
ON-EV-2200,Kitchener Charging Station 200,Kitchener,ON,43.543215,-80.518912,Level 2,7.2,Active
ON-EV-2201,Mississauga Charging Station 201,Mississauga,ON,43.657394,-79.650036,Level 2,7.2,Active
ON-EV-2202,Windsor Charging Station 202,Windsor,ON,42.288562,-83.046678,Level 3,150.0,Active
ON-EV-2203,London Charging Station 203,London,ON,43.003509,-81.266995,Level 2,7.2,Active
ON-EV-2204,Vaughan Charging Station 204,Vaughan,ON,43.791975,-79.602686,Level 2,7.2,Active
ON-EV-2205,Kitchener Charging Station 205,Kitchener,ON,43.429135,-80.512035,Level 3,50.0,Active
ON-EV-2206,Mississauga Charging Station 206,Mississauga,ON,43.501971,-79.628103,Level 2,7.2,Active
ON-EV-2207,Brampton Charging Station 207,Brampton,ON,43.642061,-79.76508,Level 2,7.2,Active
ON-EV-2208,Mississauga Charging Station 208,Mississauga,ON,43.542964,-79.57909,Level 2,7.2,Active
ON-EV-2209,Mississauga Charging Station 209,Mississauga,ON,43.50071,-79.677252,Level 3,150.0,Active
ON-EV-2210,Hamilton Charging Station 210,Hamilton,ON,43.313423,-79.867646,Level 2,7.2,Active
ON-EV-2211,Brampton Charging Station 211,Brampton,ON,43.655975,-79.715299,Level 2,7.2,Active
ON-EV-2212,Brampton Charging Station 212,Brampton,ON,43.644008,-79.702127,Level 3,50.0,Active
ON-EV-2213,London Charging Station 213,London,ON,43.013413,-81.26105,Level 2,7.2,Active
ON-EV-2214,London Charging Station 214,London,ON,43.083125,-81.195856,Level 3,150.0,Active
ON-EV-2215,Hamilton Charging Station 215,Hamilton,ON,43.192595,-79.898653,Level 2,7.2,Active
ON-EV-2216,Toronto Charging Station 216,Toronto,ON,43.670362,-79.365904,Level 2,7.2,Active
ON-EV-2217,Mississauga Charging Station 217,Mississauga,ON,43.677136,-79.692241,Level 2,7.2,Active
ON-EV-2218,Mississauga Charging Station 218,Mississauga,ON,43.564383,-79.651753,Level 2,7.2,Active
ON-EV-2219,Hamilton Charging Station 219,Hamilton,ON,43.247337,-79.874506,Level 2,7.2,Active
ON-EV-2220,Brampton Charging Station 220,Brampton,ON,43.641468,-79.681617,Level 3,150.0,Active
ON-EV-2221,Kitchener Charging Station 221,Kitchener,ON,43.353006,-80.581044,Level 2,7.2,Active
ON-EV-2222,Kitchener Charging Station 222,Kitchener,ON,43.501875,-80.461109,Level 3,150.0,Active
ON-EV-2223,Vaughan Charging Station 223,Vaughan,ON,43.767711,-79.552063,Level 2,7.2,Active
ON-EV-2224,Mississauga Charging Station 224,Mississauga,ON,43.544122,-79.586675,Level 3,150.0,Active
ON-EV-2225,London Charging Station 225,London,ON,42.970677,-81.176342,Level 2,7.2,Active
ON-EV-2226,Kitchener Charging Station 226,Kitchener,ON,43.449114,-80.585777,Level 2,7.2,Active
ON-EV-2227,Windsor Charging Station 227,Windsor,ON,42.327299,-83.067216,Level 2,7.2,Active
ON-EV-2228,Markham Charging Station 228,Markham,ON,43.773385,-79.389643,Level 3,50.0,Active
ON-EV-2229,Brampton Charging Station 229,Brampton,ON,43.657098,-79.685973,Level 2,7.2,Active
ON-EV-2230,Windsor Charging Station 230,Windsor,ON,42.298659,-83.084368,Level 3,150.0,Active
ON-EV-2231,Hamilton Charging Station 231,Hamilton,ON,43.207006,-79.840265,Level 2,7.2,Active
ON-EV-2232,Vaughan Charging Station 232,Vaughan,ON,43.823953,-79.54676,Level 3,150.0,Active
ON-EV-2233,Kitchener Charging Station 233,Kitchener,ON,43.388203,-80.588093,Level 3,50.0,Active
ON-EV-2234,Windsor Charging Station 234,Windsor,ON,42.232668,-82.999649,Level 2,7.2,Active
ON-EV-2235,Vaughan Charging Station 235,Vaughan,ON,43.779254,-79.436472,Level 3,50.0,Active
ON-EV-2236,Markham Charging Station 236,Markham,ON,43.897667,-79.328292,Level 2,7.2,Active
ON-EV-2237,London Charging Station 237,London,ON,43.054284,-81.259574,Level 2,7.2,Active
ON-EV-2238,London Charging Station 238,London,ON,43.054895,-81.211496,Level 2,7.2,Active
ON-EV-2239,Mississauga Charging Station 239,Mississauga,ON,43.619195,-79.635014,Level 2,7.2,Active
ON-EV-2240,Vaughan Charging Station 240,Vaughan,ON,43.778687,-79.537305,Level 3,50.0,Active
ON-EV-2241,Toronto Charging Station 241,Toronto,ON,43.593473,-79.431476,Level 2,7.2,Active
ON-EV-2242,Brampton Charging Station 242,Brampton,ON,43.78285,-79.758523,Level 2,7.2,Active
ON-EV-2243,Hamilton Charging Station 243,Hamilton,ON,43.287626,-79.938776,Level 2,7.2,Active
ON-EV-2244,Kitchener Charging Station 244,Kitchener,ON,43.463636,-80.442354,Level 2,7.2,Active
ON-EV-2245,Ottawa Charging Station 245,Ottawa,ON,45.334541,-75.704414,Level 3,50.0,Active
ON-EV-2246,Windsor Charging Station 246,Windsor,ON,42.314463,-83.115305,Level 2,7.2,Active
ON-EV-2247,Kitchener Charging Station 247,Kitchener,ON,43.431076,-80.573818,Level 2,7.2,Active
ON-EV-2248,Vaughan Charging Station 248,Vaughan,ON,43.793645,-79.589693,Level 2,7.2,Active
ON-EV-2249,Kitchener Charging Station 249,Kitchener,ON,43.467119,-80.465584,Level 3,50.0,Active
